Sentence ,Masked Sentence,Options,Truth,Options,Rule
"His brother Sergius Ivanich, Oblonsky, and the Princess directed his actions.
","His brother Sergius Ivanich, Oblonsky, and the Princess <***> directed his <***>.","themselves,herself* actions,action",herself * actions,"his, her , whose * actions, words, places",R_A*S_V
"The excited sailor danced on the stern happily, while the captain gave his speech","The excited sailor <***> on the stern happily, while the captain <***> his speech after victory ","danced,dance* gave,given",danced* gave,"dances, cries, bathes * speech , son, laugh",S_V
 A bouquet of yellow roses lends color and fragrance to the room., A <***> of yellow roses <***> color and fragrance to the room.,"boquet,boquets * lends,lend",boquet * lends,"bouquet, banquet * lend , lends",S_V
The pilots that the architect admires are young and like to play football on their break.,The pilots that the architect admires <***> young and like to <***> football on their break.,"are,is* play,plays",are*play,"softened, hardened *  be, been ",S_V
Peter shot himself in the foot and Mary came to help him ,Peter shot <***> in the foot and Mary <***> to help him.,"himself,themselves * came,come",himself*came,"himself , herself * them , him ",R_A * S_V
"Everyone has problems , few people solve them ","Everyone <***> problems ,few people <***> them.","has,have * solve,solves",has*solve,"have , has * them , it ",S_V*N_P_I
"In matters of religion Levin, like most of his contemporaries, had very indefinite views, but he longed for peace","In matters of fighting Levin, like most of <***> contemporaries, <***>very indefinite views, but he <***> for peace.","his,him* longed,long",his*longed,"his, her * loaded, longed   ",S_V
My aunt or my uncle is arriving by train today and I am expecting choclates from them.,My aunt or my uncle <***> arriving by train today and I <***> expecting choclates from them.,"is,are*am,are",is*am,"My , Her * is arriving , are arriving ",S_V
"No one else existed except a soldier-beggar, two old women, and the dancing clergy.","<***> one else the except a soldier-beggar, two old women, and the <***> clergy.","no,never * dancing,dances",no*dancing,"A , an * them , the ",N_P_I*S_V 
"How wonderfully expressive her hand is!' he thought, recalling how they had sat at the corner table the day before.","How wonderfully expressive her hand <***>! he thought, recalling how they <***> sat at the corner table the day before.","is,are* had,has",is*had,"are, is * them, they ",S_V
He remembered how he had kissed the hand and afterwards examined the converging lines on the rosy palm.,He remembered how he <***> kissed the hand and afterwards examined the converging <***> on her rosy palm.,"had,have * lines,line",had*lines,"he, she * smile, lines",S_V
"Again Lordvmercypons! thought he, crossing himself, bowing, and watching the movements of the bowing deacon's flexible back.","Again 'Lordvmercypons!' thought he, crossing <***>, bowing, and <***> the movements of the bowing deacon's flexible back.","himself,themselves * watching,watches ",himself*watching ,"herself, himself * wasting , watching ",R_A  *  S_V
"The sealed-up thoughts began stirring in Levin's head, but he hastened to drive them away as he was running out of breath. ","The sealed-up thoughts <***> stirring in Levin's head, but he hastened to drive them away as he was <***> out of breath.","began,begin* running,runs ",began*running ,"he , her * fuming , running",S_V
the pilot that the skater likes laughs and the skater is learning to fly ,the pilot that the skater likes <***> and the skater <***> learning to fly,"laughs,laugh* is,are",laughs*is,"laugh, laughs * the, a ",S_V 
At the end he bows to the ground and likes to speak to Levin.,At the end he <***> to the ground and likes to <***> to Levin.,"bows,bow * speak,speaks",bows*speak ,"a, the * speaks, speak",S_V
"Christ, though unseen, is here present to receive your confession,' he said, pointing to a crucifix.","Christ, though unseen, <***> here present to receive your confession,' he <***>, pointing to they crucifix.","is,are * said,say",is*said,"are, is * them, the ",S_V
"I have doubted, and still doubt, everything,' replied Levin in a voice unpleasant to himself, and stopped.","I have doubted, and still <***>, everything, replied Levin in a voice unpleasant to <***>, and stopped.","doubt,doubts * himself,themselves ",doubt*himself ,"doubt , doubts * himself,themselves ",S_V*R_A
"The kid the mother likes, likes to play , dance and sing while he goes to school ","The kid the mother likes, likes to <***>, dance and sing while he <***> to school","play,plays*goes,go",play*goes,"play, plays * goes, go ",S_V
The worker the author plays with also like to sing and play the piano,The worker the author <***> with also <***> to sing and play the piano,"play,plays*like,likes",plays*likes,"laugh, laughs * gag, gags",S_V
The author is older than the fan who met him at the bookstore ,The author <***> older than the fan who <***> him at the bookstore,"is,are * met,meet",is*met,"is,are* on, at",S_V
The emperor the prince admires is young and likes to dance ,The emperor the prince <***> is young and <***> to dance ,"admires,admire * likes,like ",admires*likes ,"admire, admires * like , likes",S_V
"Tim carried a bucket while Tom carried a shovel, as they climbed the hill to dig up their fortune","The older man carried a bucket while the young lad carried a shovel, as <***> <***> the hill to dig up their fortune","they,them*climbed,climbs",they*climbed,"cast, casts * want, wants ",S_V
The author that the guard hates swims and dives,The author that the guard hates <***> and <***>,"swims,swim * dives,dive",swims*dives ,"swim,swims * dive, dives",S_V
"I am speaking of one who is not with us, because he is no more.","I am <***> of one who is not with us, because he <***> no more.","speaking,speaks *is,are",speaking *is ,"speaks, speaking * was, is ",S_V
"Do you know,' said Levin turning to his brother, 'Katavasov is writing a work on nutriment and...'","Do you know, said Levin <***> to his brother, Katavasov is <***> a work on nutriment and...'","turning,turns * writing,writes ",turning*writing ,"turns, turning * writes , writing ",S_V
the author that the guard loves is young while he was in his eighties ,the author that the guard <***> is young while he <***> in his eighties ,"loves,loving * was,were",loves*was,"love,loves * was, were",S_V
People who had so much as said a word about the affair were not welcome at the party,People who had so much as <***> a word about the affair were <***> welcome at the party,"said,say * never, ever",said*never,"said, says * not, never",S_V*N_P_I
"All the same, it's a pity that those two bears will be killed without you.","All the same, it's a pity that those two bears <***> be <***> without you.","will,shall * killed,kills",will*killed,"those,them * killed, kills ",S_V
"This custom of taking leave of celibacy is not without its reason,said Sergius Ivanich, grumpily","This custom of <***> leave of celibacy is not without its reason,' said Sergius Ivanich, <***>","taking,takes * grumpily,grump ",taking*grumpily ,"takes, taking * grupmpy, grumpily ",S_V
the consultant that likes the executive is young and wants to pray ,the consultant that likes the executive <***> young and <***> to pray,"is,are* wants,want",is*wants,"is,are * want, wants",S_V
A theory of physics ascertains that a body in motion stays in motion unless a force acts upon it ,A theory of physics <***> that a body in motion stays in motion unless a force <***> upon it,"ascertains,ascertain * acts,act",ascertains*acts,"ascertains, ascertain * act, acts",S_V
"Of course he feels so, but won't own up, said Katavasov, and burst out laughing.","Of course he <***> so, but won't own up,' said Katavasov, and <***> out laughing.","feels,feel * burst,bursting",feels*burst,"feel,feels * burst,bursts",S_V
"I am ready to swear I can't find in my soul a trace of regret for my freedom, said Levin, with a smile.","I <***> ready to swear I can't find in my soul a trace of <***> for my freedom,' said Levin, with a smile.","am,is * regret,regrets",am*regret ,"am,are * regrets, regret",S_V
"Ah, but your soul is filled in such chaos at the present moment that you are unable to find anything there!","Ah, but your soul is <***> in such chaos at the present moment that you are unable to <***> anything there!","filled,fills * find,found ",filled * find ,"fills, filled * finds, find",S_V
"Wait till you've settled down a bit, then you'll find it, said Katavasov.","Wait till you've <***> down a bit, then you'll <***> it, said Katavasov.","settled,settles * find,found ",settled * find ,"settles, settled * finds, find ",S_V
"But quite on the contrary, it is precisely of this loss of freedom that I am glad!","But quite on the contrary, it is precisely of this <***> of freedom that I <***> glad!","loss,losses * am,is ",loss * am ,"loss, losses * am , are",S_V
"Well, let us drink to his recovery, or let us wish that at least a hundredth part of his dreams come true.","Well, let us <***> to his recovery, or let us wish that at least a hundredth part of his dreams <***> true.","drink,drank * come,coming",drink * come,"drinks, drink * hundredth, hundred ",S_V
"Oh, what have I done!' he exclaimed, and kneeling before her he began kissing her hands.","Oh, what <***> I done!' he <***>, and kneeling before her he began kissing her hands.","have,has* exclaimed,exclaim ",have * exclaimed ,"have , has * exclaims, exclaimed ",S_V
"Guilty and ashamed, but comforted, Levin returned to his hotel.","Guilty and ashamed, but <***>, Levin <***> to his hotel.","comforted,comforts * returned,returns ",comforted * returned ,"comfort,comforted * return , returned ",S_V
"His brother, Dolly, and Oblonsky, all in evening dress, were waiting to bless him with the icon.","His brother, Dolly, and Oblonsky, all in evening dress, <***> <***> to bless him with the icon.","were,was * waiting,waits ",were * waiting ,"was,were * wait, waiting ",S_V 
"Then a carriage had to be sent to fetch the groomsman, and another was to take Sergius Ivanich and return again.","Then a carriage <***> to be sent to fetch the groomsman, and another was to <***> Sergius Ivanich and return again.","had,have * take,took ",had * take ,"has, had * take, takes",S_V
"Dolly did the same, then she hurried away and again became confused about the arrangements for the carriages.","Dolly <***> the same, then she hurried away and again became <***> about the arrangements for the carriages.","did,does*confused,confuse",did*confused,"does,did * confuse, confused ",S_V
"A CROWD OF PEOPLE, mostly women, had assembled outside the church, which was brightly lit up for the wedding.","A CROWD OF PEOPLE, mostly women, <***> assembled outside the church, which <***> brightly lit up for the wedding.","had,have * was,were ",had * was ,"has,had * was, were ",S_V
